Step,UTC Time,Traffic Light,Phase,North,South,East,West,Exited Vehicles
0.1,08:57:59,CJ_TL,0,1,1,1,0,0
0.2,08:57:59,CJ_TL,0,1,1,1,0,0
0.3,08:57:59,CJ_TL,0,1,1,1,0,0
0.4,08:57:59,CJ_TL,0,1,1,1,0,0
0.5,08:57:59,CJ_TL,0,1,1,1,0,0
0.6,08:57:59,CJ_TL,0,1,1,1,0,0
0.7,08:57:59,CJ_TL,0,1,1,1,0,0
0.8,08:57:59,CJ_TL,0,1,1,1,0,0
0.9,08:57:59,CJ_TL,0,1,1,1,0,0
1.0,08:57:59,CJ_TL,0,1,1,1,0,0
1.1,08:57:59,CJ_TL,1,1,1,1,0,0
1.2,08:57:59,CJ_TL,1,1,1,1,0,0
1.3,08:57:59,CJ_TL,1,1,1,1,0,0
1.4,08:57:59,CJ_TL,1,1,1,1,0,0
1.5,08:57:59,CJ_TL,1,1,1,1,0,0
1.6,08:57:59,CJ_TL,1,1,1,1,0,0
1.7,08:57:59,CJ_TL,1,1,1,1,0,0
1.8,08:57:59,CJ_TL,1,1,1,1,0,0
1.9,08:57:59,CJ_TL,1,1,1,1,0,0
2.0,08:57:59,CJ_TL,1,1,1,1,0,0
2.1,08:57:59,CJ_TL,1,1,1,1,0,0
2.2,08:57:59,CJ_TL,2,1,1,1,0,0
2.3,08:57:59,CJ_TL,2,1,1,1,0,0
2.4,08:57:59,CJ_TL,2,1,1,1,0,0
2.5,08:57:59,CJ_TL,2,1,1,1,1,0
2.6,08:57:59,CJ_TL,2,1,1,1,1,0
2.7,08:57:59,CJ_TL,2,2,1,1,1,0
2.8,08:57:59,CJ_TL,2,2,1,2,1,0
2.9,08:57:59,CJ_TL,2,2,1,2,1,0
3.0,08:58:00,CJ_TL,2,2,1,2,1,0
3.1,08:58:00,CJ_TL,2,2,1,2,1,0
3.2,08:58:00,CJ_TL,2,2,1,2,1,0
3.3,08:58:00,CJ_TL,3,2,1,2,1,0
3.4,08:58:00,CJ_TL,3,2,1,2,1,0
3.5,08:58:00,CJ_TL,3,2,1,2,1,0
3.6,08:58:00,CJ_TL,3,2,1,2,1,0
3.7,08:58:00,CJ_TL,3,2,1,2,1,0
3.8,08:58:00,CJ_TL,3,2,1,2,1,0
3.9,08:58:00,CJ_TL,3,2,1,2,1,0
4.0,08:58:00,CJ_TL,3,2,1,2,1,0
4.1,08:58:00,CJ_TL,3,2,1,2,1,0
4.2,08:58:00,CJ_TL,3,2,1,2,1,0
4.3,08:58:00,CJ_TL,3,2,1,2,1,0
4.4,08:58:00,CJ_TL,0,2,1,2,1,0
4.5,08:58:00,CJ_TL,0,2,1,2,1,0
4.6,08:58:00,CJ_TL,0,2,1,2,1,0
4.7,08:58:00,CJ_TL,0,2,1,2,1,0
4.8,08:58:00,CJ_TL,0,2,1,2,1,0
4.9,08:58:00,CJ_TL,0,2,1,2,1,0
5.0,08:58:00,CJ_TL,0,2,1,2,1,0
5.1,08:58:00,CJ_TL,0,2,1,2,1,0
5.2,08:58:00,CJ_TL,0,2,1,2,1,0
5.3,08:58:00,CJ_TL,0,2,1,2,1,0
5.4,08:58:00,CJ_TL,0,2,1,2,1,0
5.5,08:58:00,CJ_TL,1,2,1,2,1,0
5.6,08:58:00,CJ_TL,1,2,1,2,1,0
5.7,08:58:00,CJ_TL,1,2,1,2,1,0
5.8,08:58:00,CJ_TL,1,2,1,2,1,0
5.9,08:58:00,CJ_TL,1,2,1,2,1,0
6.0,08:58:00,CJ_TL,1,2,1,2,1,0
6.1,08:58:00,CJ_TL,1,2,1,2,1,0
6.2,08:58:00,CJ_TL,1,2,1,2,1,0
6.3,08:58:00,CJ_TL,1,2,2,2,1,0
6.4,08:58:00,CJ_TL,1,2,2,2,1,0
6.5,08:58:00,CJ_TL,1,2,2,2,1,0
6.6,08:58:00,CJ_TL,2,2,2,2,1,0
6.7,08:58:00,CJ_TL,2,2,2,2,1,0
6.8,08:58:00,CJ_TL,2,2,2,2,1,0
6.9,08:58:00,CJ_TL,2,2,2,2,1,0
7.0,08:58:00,CJ_TL,2,2,2,3,1,0
7.1,08:58:00,CJ_TL,2,2,2,3,1,0
7.2,08:58:00,CJ_TL,2,2,2,3,1,0
7.3,08:58:00,CJ_TL,2,2,2,3,1,0
7.4,08:58:00,CJ_TL,2,2,2,3,1,0
7.5,08:58:00,CJ_TL,2,2,2,3,1,0
7.6,08:58:00,CJ_TL,2,2,2,3,1,0
7.7,08:58:00,CJ_TL,3,2,2,3,1,0
7.8,08:58:00,CJ_TL,3,2,2,3,1,0
7.9,08:58:00,CJ_TL,3,2,2,3,1,0
8.0,08:58:00,CJ_TL,3,2,2,3,1,0
8.1,08:58:00,CJ_TL,3,2,2,3,1,0
8.2,08:58:00,CJ_TL,3,3,2,3,1,0
8.3,08:58:00,CJ_TL,3,3,2,3,2,0
8.4,08:58:00,CJ_TL,3,3,2,3,2,0
8.5,08:58:00,CJ_TL,3,3,2,3,2,0
8.6,08:58:00,CJ_TL,3,3,2,3,2,0
8.7,08:58:00,CJ_TL,3,3,2,3,2,0
8.8,08:58:00,CJ_TL,0,3,2,3,2,0
8.9,08:58:00,CJ_TL,0,3,3,3,2,0
9.0,08:58:00,CJ_TL,0,3,3,3,2,0
9.1,08:58:00,CJ_TL,0,3,3,3,2,0
9.2,08:58:00,CJ_TL,0,3,3,3,2,0
9.3,08:58:00,CJ_TL,0,3,3,3,2,0
9.4,08:58:00,CJ_TL,0,3,3,3,2,0
9.5,08:58:00,CJ_TL,0,3,3,3,2,0
9.6,08:58:00,CJ_TL,0,3,3,4,2,0
9.7,08:58:00,CJ_TL,0,3,3,4,2,0
9.8,08:58:00,CJ_TL,0,3,3,4,2,0
9.9,08:58:00,CJ_TL,1,3,3,4,2,0
10.0,08:58:00,CJ_TL,1,3,3,4,2,0
10.1,08:58:00,CJ_TL,1,3,3,4,2,0
10.2,08:58:00,CJ_TL,1,3,3,4,2,0
10.3,08:58:00,CJ_TL,1,3,3,4,2,0
10.4,08:58:00,CJ_TL,1,3,3,4,2,0
10.5,08:58:00,CJ_TL,1,3,3,4,2,0
10.6,08:58:00,CJ_TL,1,3,3,4,2,0
10.7,08:58:01,CJ_TL,1,3,3,4,2,0
10.8,08:58:01,CJ_TL,1,3,3,4,2,0
10.9,08:58:01,CJ_TL,1,3,3,4,2,0
11.0,08:58:01,CJ_TL,2,3,3,4,3,0
11.1,08:58:01,CJ_TL,2,3,3,4,3,0
11.2,08:58:01,CJ_TL,2,3,3,4,3,0
11.3,08:58:01,CJ_TL,2,3,3,4,3,0
11.4,08:58:01,CJ_TL,2,3,3,4,3,0
11.5,08:58:01,CJ_TL,2,3,4,4,3,0
11.6,08:58:01,CJ_TL,2,3,3,4,3,0
11.7,08:58:01,CJ_TL,2,3,3,4,3,0
11.8,08:58:01,CJ_TL,2,3,3,4,3,0
11.9,08:58:01,CJ_TL,2,2,3,4,3,0
12.0,08:58:01,CJ_TL,2,2,3,4,3,0
12.1,08:58:01,CJ_TL,3,2,3,4,3,0
12.2,08:58:01,CJ_TL,3,2,3,5,3,0
12.3,08:58:01,CJ_TL,3,2,3,5,3,0
12.4,08:58:01,CJ_TL,3,2,3,5,3,0
12.5,08:58:01,CJ_TL,3,2,3,5,3,0
12.6,08:58:01,CJ_TL,3,2,3,5,3,0
12.7,08:58:01,CJ_TL,3,2,3,5,3,0
12.8,08:58:01,CJ_TL,3,2,3,5,3,0
12.9,08:58:01,CJ_TL,3,2,3,5,3,0
13.0,08:58:01,CJ_TL,3,2,3,5,3,0
13.1,08:58:01,CJ_TL,3,2,3,5,3,0
13.2,08:58:01,CJ_TL,0,2,3,5,3,0
13.3,08:58:01,CJ_TL,0,2,3,5,3,0
13.4,08:58:01,CJ_TL,0,2,3,5,3,0
13.5,08:58:01,CJ_TL,0,2,3,5,3,0
13.6,08:58:01,CJ_TL,0,2,3,5,4,0
13.7,08:58:01,CJ_TL,0,2,3,5,4,0
13.8,08:58:01,CJ_TL,0,2,3,5,4,0
13.9,08:58:01,CJ_TL,0,2,3,5,4,0
14.0,08:58:01,CJ_TL,0,2,3,5,4,0
14.1,08:58:01,CJ_TL,0,2,4,5,4,0
14.2,08:58:01,CJ_TL,0,2,4,5,4,0
14.3,08:58:01,CJ_TL,1,2,4,5,4,0
14.4,08:58:01,CJ_TL,1,2,4,5,4,0
14.5,08:58:01,CJ_TL,1,2,4,5,4,0
14.6,08:58:01,CJ_TL,1,2,4,4,4,0
14.7,08:58:01,CJ_TL,1,2,4,4,4,0
14.8,08:58:01,CJ_TL,1,2,4,5,4,0
14.9,08:58:01,CJ_TL,1,2,4,5,4,0
15.0,08:58:01,CJ_TL,1,2,4,5,4,0
15.1,08:58:01,CJ_TL,1,2,4,5,4,0
15.2,08:58:01,CJ_TL,1,2,4,5,4,0
